# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  cobre    cobre                [.] RefactorInfo::clear()
     0.00%  cobre    cobre                [.] HEkk::debugNlaCheckInvert(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int) const
     0.00%  cobre    cobre                [.] HEkk::updateMatrix(int, int)
     0.00%  cobre    cobre                [.] presolve::HPresolve::isUpperStrictlyImplied(int, double*) const
     0.00%  cobre    libc.so.6            [.] __printf_fp_buffer_1.isra.0
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::residual(int&, HighsCDouble&, double, double, int, double, double, double) const
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, int) const
     0.00%  cobre    cobre                [.] std::_Function_handler<bool (int, bool), presolve::HPresolve::dualFixing(presolve::HighsPostsolveStack&, int)::{lambda(int, bool)#1}>::_M_invoke(std::_Any_data const&, int&&, bool&&)
     0.00%  cobre    cobre                [.] cobre_stochastic::par::fitting::yw_matrices::solve_linear_system
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::updatedImplVarUpper(int, int, double, double, double, int)
     0.00%  cobre    cobre                [.] HEkk::unapplyTabooRowOut(std::vector<double, std::allocator<double> >&)
     0.00%  cobre    cobre                [.] HEkkPrimal::useVariableIn()
